gauge_id,gauge_name,space_remaining,opt_param_plausible,sigma_MD,sigma_obs,camels_uncert,cut_off,theta_1,theta_2,theta_3,theta_4,PCA_emulator,PCA_var_accounted,x1_opt,x2_opt,x3_opt,x4_opt,opt_NSE,opt_log_NSE,opt_normalised_NSE,opt_L1_NSE,opt_corr,opt_bias,opt_RMSD,opt_KGE,x1_most_nonimp,x2_most_nonimp,x3_most_nonimp,x4_most_nonimp,main_effect_x1,main_effect_x2,main_effect_x3,main_effect_x4,total_effect_x1,total_effect_x2,total_effect_x3,total_effect_x4,D_CI_em1,D_CI_em2,D_CI_em3,D_CI_em4,D_DI_em1,D_DI_em2,D_DI_em3,D_DI_em4,obs_missing,start_date,end_date,river,area
10002,Ugie at Inverugie,49.17442,TRUE,0.01758,0.06159,TRUE,2,0.3,0.2,0.3,0.3,TRUE,95.707,383.7533,0.28367,26.04954,1.87613,0.84462,0.80734,0.86552,0.65137,0.91925,-0.01758,0.47761,0.89076,18.82,0.39053,68.59755,0.996,0.022782,0.72728,0.0055687,0.00014808,0.038329,0.96555,0.2124,0.034624,0.956,0.792,0.81,0.956,431.74,1731,1932.8,531.22,0,1990-01-01,1999-12-31,River Ugie,325.72
10003,Ythan at Ellon,61.32291,TRUE,0.00499,0.05789,TRUE,2,0.3,0.2,0.3,0.3,TRUE,95.863,407.4833,0.56663,79.83803,1.28078,0.88643,0.90111,0.89801,0.71008,0.94185,0.00499,0.34927,0.89846,18.82,0.39053,186.3837,1.0778,0.018886,0.73344,0.0053769,0.00014957,0.033819,0.97015,0.2115,0.033592,0.772,0.92,0.922,0.732,2124.9,629.08,883.56,2108,0,1990-01-01,1999-12-31,River Ythan,532.29
1001,Wick at Tarroul,0.9324,FALSE,0.03536,0.07702,TRUE,2,0.3,0.2,0.3,0.3,TRUE,95.264,139.8997,-0.13463,43.42347,1.21206,0.7148,0.83477,0.80762,0.60004,0.84933,0.03536,1.04217,0.82809,18.82,-4.35363,156.9371,0.996,0.0035513,0.77166,0.0038616,0.00010832,0.014359,0.99116,0.19765,0.026525,0.976,0.722,0.924,0.934,348.29,1848.6,807.63,544.58,8.5,1995-01-01,2004-12-31,River Wick,158.18
101002,Medina at Shide,41.97256,TRUE,0.07676,0.095,TRUE,2,0.3,0.2,0.3,0.3,TRUE,95.231,820.5706,-1.30254,27.66035,1.08559,0.78392,0.28985,0.83015,0.51137,0.89239,-0.07676,0.42278,0.86649,332.5073,-5.008,176.5682,0.996,0.092289,0.67942,0.0041992,0.00014163,0.10919,0.89409,0.19042,0.029127,0.956,0.77,0.74,0.718,389.44,1643.1,1828.4,2001.7,5.3,1990-01-01,1999-12-31,River Medina,30.61
101005,Eastern Yar at Budbridge,16.79006,TRUE,0.12398,0.09456,TRUE,2,0.3,0.2,0.3,0.3,TRUE,95.431,550.045,-1.60192,22.42104,1.10511,0.80699,-0.41133,0.83981,0.53244,0.90721,-0.12398,0.42427,0.84473,260.118,-5.008,156.9371,0.996,0.095238,0.67396,0.0044306,0.00014869,0.11268,0.89039,0.19176,0.029964,0.968,0.736,0.936,0.922,362.16,1629.2,851.72,669.77,0.4,1990-01-01,1999-12-31,River Eastern Yar,24.31
102001,Cefni at Bodffordd,0,FALSE,0.04258,0.24454,TRUE,2,0.3,0.2,0.3,0.3,TRUE,94.616,204.3839,-0.04001,27.38513,1.27102,0.82001,0.89289,0.84747,0.6918,0.90844,0.04258,0.95234,0.81266,42.9498,1.86286,166.7526,0.996,0.012681,0.76232,0.0038273,0.00012589,0.024357,0.9807,0.19688,0.026354,0.704,0.94,0.768,0.692,2031.2,579.87,1845.3,2118.1,0,1990-01-01,1999-12-31,River Cefni,21.01
106001,Creed at Creed Bridge,1.50269,TRUE,0.00029,0.31062,TRUE,2,0.3,0.2,0.3,0.3,TRUE,93.694,15.13651,0.44045,85.64466,1.23017,0.88172,0.86864,0.89423,0.70575,0.93921,0.00029,1.18639,0.92683,18.82,1.69927,29.33551,1.97755,0.00017787,0.80601,0.0049186,6.2457e-05,0.0063732,0.99594,0.17699,0.017227,0.684,0.95,0.702,0.92,2175.1,472.54,2197.6,621.03,0,2000-01-01,2009-12-31,River Creed,44.93
107001,Durkadale at Durkadale,0.2347,FALSE,0.00171,0.29751,TRUE,2,0.3,0.2,0.3,0.3,TRUE,95.154,192.4815,0.26294,16.28102,1.38814,0.79075,0.90821,0.82931,0.67867,0.89174,-0.00171,1.09977,0.88405,18.82,1.53567,19.52,0.996,0.001932,0.78106,0.0038907,8.7465e-05,0.011602,0.99367,0.19226,0.024369,0.692,0.676,0.938,0.672,3178.3,2135.9,604.76,2157.4,0.2,2000-01-01,2009-12-31,River Durkadale,19.6
11001,Don at Parkhill,86.64626,TRUE,4e-05,0.11358,TRUE,2,0.3,0.2,0.3,0.3,TRUE,95.167,460.0028,0.11291,75.01668,1.5471,0.83774,0.883,0.86039,0.66194,0.91556,-4e-05,0.48634,0.86375,18.82,-0.9182,137.3061,0.996,0.013474,0.74836,0.0045485,0.00014101,0.026677,0.97793,0.20574,0.030288,0.742,0.916,0.908,0.71,2170.2,833.18,1075.2,2402.2,0,1990-01-01,1999-12-31,River Don,1269.14
11003,Don at Bridge of Alford,91.39382,TRUE,0.00363,0.1686,FALSE,2,0.3,0.2,0.3,0.3,TRUE,94.621,727.7809,0.15056,85.62694,1.13438,0.6693,0.80363,0.75148,0.52664,0.8187,0.00363,0.76783,0.72087,187.7286,-0.26384,19.52,0.996,0.0086784,0.76273,0.0038962,0.00013331,0.020147,0.98488,0.19985,0.027194,0.964,0.784,0.788,0.71,361.3,1649.2,2078.2,2391.1,0,1990-01-01,1999-12-31,River Don,509.94
11004,Urie at Pitcaple,88.9845,TRUE,0.0021,0.07948,TRUE,2,0.3,0.2,0.3,0.3,TRUE,94.891,473.4281,-0.04001,123.9651,1.16366,0.85246,0.90322,0.87143,0.69554,0.92333,-0.0021,0.40787,0.88565,260.118,-4.35363,500.48,0.996,0.015374,0.74586,0.0046401,0.00014983,0.028802,0.97566,0.20607,0.030376,0.75,0.8,0.924,0.722,2027,1504,789.18,2541.2,0,1990-01-01,1999-12-31,River Urie,195.44
12001,Dee at Woodend,56.73147,TRUE,0.00544,0.13629,TRUE,2,0.3,0.2,0.3,0.3,TRUE,92.5,780.5509,0.72126,52.45733,1.19294,0.56926,0.75017,0.69894,0.42904,0.75464,0.00544,1.56839,0.64328,18.82,0.39053,19.52,0.996,0.0051263,0.78341,0.0033842,0.00012107,0.01431,0.99067,0.18831,0.021979,0.718,0.73,0.728,0.956,2099.2,1703.5,2066.3,417.55,0,1990-01-01,1999-12-31,River Dee,1380.06
12002,Dee at Park,55.91179,TRUE,0.00404,0.11674,TRUE,2,0.3,0.2,0.3,0.3,TRUE,92.829,595.8566,0.56663,54.05489,1.23198,0.64011,0.80099,0.73536,0.48554,0.80012,0.00404,1.3778,0.71158,67.07959,0.55412,48.96653,0.996,0.0060102,0.78007,0.0034077,0.00012228,0.015617,0.98946,0.18987,0.022712,0.71,0.752,0.738,0.944,2310.9,1685.8,2049.6,443.89,0,1990-01-01,1999-12-31,River Dee,1833.21
12005,Muick at Invermuick,29.07181,TRUE,0.01125,0.31008,TRUE,2,0.3,0.2,0.3,0.3,TRUE,90.576,566.7963,0.75858,74.44049,1.03679,0.58012,0.76531,0.70428,0.44439,0.76208,-0.01125,2.26739,0.67947,18.82,0.88131,19.52,0.996,0.0042559,0.79721,0.0034435,0.00012756,0.012215,0.99219,0.17898,0.018289,0.954,0.724,0.694,0.838,360.71,1846.7,2386.9,1252,0,1990-01-01,1999-12-31,River Muick,109.39
12006,Gairn at Invergairn,41.39653,TRUE,0.01246,0.13626,TRUE,2,0.3,0.2,0.3,0.3,TRUE,92.777,780.5509,1.01224,62.17792,1.00751,0.50867,0.70267,0.67054,0.38716,0.71414,0.01246,1.53028,0.57071,18.82,0.55412,19.52,0.996,0.0067456,0.77332,0.0035284,0.00012728,0.017067,0.98813,0.19404,0.024481,0.968,0.916,0.754,0.942,377.3,761.54,1886.5,521.58,0,1990-01-01,1999-12-31,River Gairn,145.91
12007,Dee at Mar Lodge,0,FALSE,0.01082,0.30377,TRUE,2,0.3,0.2,0.3,0.3,TRUE,90.056,1176.148,1.02652,31.50039,1.06607,0.42727,0.57598,0.63584,0.32061,0.6539,0.01082,2.93283,0.5001,18.82,-2.22694,19.52,5.004,0.002248,0.80085,0.0036549,0.00012039,0.0093556,0.99448,0.17857,0.017824,0.964,0.736,0.926,0.93,337.35,1811.9,737.29,617.08,0,1990-01-01,1999-12-31,River Dee,292
12008,Feugh at Heugh Head,7.47053,TRUE,0.05202,0.22178,TRUE,2,0.3,0.2,0.3,0.3,TRUE,91.088,101.6852,-0.75313,117.5025,1.02353,0.7127,0.82415,0.77682,0.57194,0.84525,-0.05202,1.70754,0.79122,18.82,-2.71771,29.33551,1.40498,0.0069929,0.78228,0.0033515,0.00013699,0.016816,0.98834,0.18721,0.021624,0.964,0.956,0.96,0.766,363.84,431.97,502.73,1825.6,0,1990-01-01,1999-12-31,River Feugh,232.84
