gauge_id,gauge_name,main_effect_x1_NSE,main_effect_x2_NSE,main_effect_x3_NSE,main_effect_x4_NSE,total_effect_x1_NSE,total_effect_x2_NSE,total_effect_x3_NSE,total_effect_x4_NSE,main_effect_x1_logNSE,main_effect_x2_logNSE,main_effect_x3_logNSE,main_effect_x4_logNSE,total_effect_x1_logNSE,total_effect_x2_logNSE,total_effect_x3_logNSE,total_effect_x4_logNSE,main_effect_x1_avr,main_effect_x2_avr,main_effect_x3_avr,main_effect_x4_avr,total_effect_x1_avr,total_effect_x2_avr,total_effect_x3_avr,total_effect_x4_avr,obs_missing,start_date,end_date,river,area
10002,Ugie at Inverugie,0.048894,0.19535,0.02427,0.13753,0.25207,0.61489,0.35226,0.38852,0.027191,0.17624,0.2838,0.0074525,0.29517,0.55529,0.73587,0.15044,0.014088,0.24825,0.22535,0.036312,0.22792,0.59438,0.65732,0.19508,0,1990-01-01,1999-12-31,River Ugie,325.72
10003,Ythan at Ellon,0.029749,0.12776,0.15544,0.043104,0.27595,0.595,0.63145,0.25701,0.025555,0.14646,0.35635,0.0032305,0.26516,0.49066,0.77731,0.16071,0.025997,0.1801,0.34057,0.017992,0.22841,0.4429,0.73335,0.18878,0,1990-01-01,1999-12-31,River Ythan,532.29
1001,Wick at Tarroul,0.14559,0.14128,0.089522,0.19253,0.24499,0.47533,0.35617,0.39105,0.28948,0.43699,0.11228,0.015073,0.31844,0.58361,0.23259,0.050017,0.27945,0.29702,0.12035,0.082679,0.31216,0.50327,0.28651,0.18407,8.5,1995-01-01,2004-12-31,River Wick,158.18
101002,Medina at Shide,0.20115,0.2797,0.076189,0.0096688,0.35011,0.63561,0.36925,0.087617,0.13651,0.086372,0.33468,0.0049873,0.42412,0.3948,0.68481,0.15025,0.22969,0.22242,0.22781,0.010562,0.36772,0.40362,0.46392,0.10555,5.3,1990-01-01,1999-12-31,River Medina,30.61
101005,Eastern Yar at Budbridge,0.15142,0.30598,0.055754,0.015346,0.30721,0.7024,0.3763,0.10524,0.094809,0.15794,0.28777,0.0092737,0.38764,0.48446,0.64206,0.16556,0.16142,0.29552,0.19019,0.017357,0.29964,0.51423,0.45067,0.12584,0.4,1990-01-01,1999-12-31,River Eastern Yar,24.31
102001,Cefni at Bodffordd,0.2483,0.098389,0.054768,0.2831,0.34334,0.28376,0.21871,0.46073,0.33211,0.43213,0.081447,0.0093295,0.36126,0.56981,0.19814,0.046984,0.37945,0.25038,0.092874,0.085877,0.4082,0.40688,0.22488,0.17235,0,1990-01-01,1999-12-31,River Cefni,21.01
106001,Creed at Creed Bridge,0.18491,0.21772,0.10827,0.42134,0.21965,0.29699,0.185,0.48815,0.36986,0.27711,0.19058,0.052243,0.41861,0.40356,0.27813,0.10029,0.37623,0.084852,0.21442,0.26148,0.40611,0.1804,0.28679,0.32407,0,2000-01-01,2009-12-31,River Creed,44.93
107001,Durkadale at Durkadale,0.2208,0.20133,0.10335,0.32564,0.28592,0.32208,0.21045,0.44652,0.3361,0.27581,0.11244,0.054589,0.45898,0.48615,0.27113,0.13831,0.36858,0.12289,0.14741,0.19288,0.43186,0.28734,0.28592,0.29748,0.2,2000-01-01,2009-12-31,River Durkadale,19.6
11001,Don at Parkhill,0.020612,0.098435,0.12189,0.058559,0.2557,0.59789,0.66626,0.24785,0.035704,0.10294,0.33875,0.0050209,0.32211,0.47598,0.79316,0.17254,0.032563,0.13097,0.323,0.025532,0.26478,0.41494,0.76723,0.20116,0,1990-01-01,1999-12-31,River Don,1269.14
11003,Don at Bridge of Alford,0.059024,0.091069,0.20409,0.049001,0.2797,0.51548,0.66645,0.18917,0.089706,0.091009,0.34768,0.0043877,0.35355,0.42008,0.74933,0.1428,0.10371,0.094603,0.37464,0.018868,0.32415,0.3096,0.73832,0.15364,0,1990-01-01,1999-12-31,River Don,509.94
11004,Urie at Pitcaple,0.053753,0.08493,0.22694,0.023229,0.29442,0.50789,0.7244,0.17243,0.044661,0.089799,0.39361,0.0023561,0.3038,0.42318,0.80619,0.16372,0.063499,0.092332,0.41187,0.01243,0.28,0.30597,0.79183,0.16674,0,1990-01-01,1999-12-31,River Urie,195.44
12001,Dee at Woodend,0.012772,0.19017,0.058433,0.27137,0.21429,0.45822,0.33064,0.39437,0.076906,0.13364,0.23091,0.012568,0.39865,0.53527,0.68692,0.14521,0.065296,0.19279,0.2115,0.06073,0.32068,0.48741,0.62211,0.18709,0,1990-01-01,1999-12-31,River Dee,1380.06
12002,Dee at Park,0.019803,0.16346,0.049915,0.29839,0.20887,0.43317,0.32182,0.43353,0.040462,0.10722,0.21516,0.017454,0.42353,0.55998,0.72799,0.17007,0.028559,0.17077,0.17983,0.089276,0.31326,0.49984,0.63776,0.23566,0,1990-01-01,1999-12-31,River Dee,1833.21
12005,Muick at Invermuick,0.0075576,0.088653,0.033522,0.51119,0.17238,0.23404,0.22308,0.60972,0.059163,0.098139,0.2038,0.020967,0.44619,0.54291,0.71133,0.1655,0.049652,0.13732,0.16197,0.11954,0.36167,0.45434,0.60055,0.25152,0,1990-01-01,1999-12-31,River Muick,109.39
12006,Gairn at Invergairn,0.014682,0.24663,0.085645,0.19102,0.24461,0.53607,0.38563,0.32903,0.076832,0.15736,0.26145,0.0077613,0.35226,0.52662,0.68704,0.13684,0.069116,0.21479,0.24986,0.033501,0.30081,0.49738,0.64103,0.15769,0,1990-01-01,1999-12-31,River Gairn,145.91
12007,Dee at Mar Lodge,0.034562,0.2769,0.034314,0.43163,0.16544,0.39204,0.16698,0.51388,0.12237,0.18592,0.19576,0.021784,0.3888,0.55494,0.59399,0.13809,0.12141,0.25226,0.17045,0.078787,0.31978,0.52899,0.5035,0.18093,0,1990-01-01,1999-12-31,River Dee,292
12008,Feugh at Heugh Head,0.022719,0.03828,0.060556,0.55358,0.14534,0.15223,0.23101,0.68835,0.043396,0.29553,0.095389,0.055877,0.39543,0.69192,0.50206,0.23822,0.049545,0.22675,0.080639,0.24054,0.26407,0.50418,0.41698,0.39559,0,1990-01-01,1999-12-31,River Feugh,232.84
12009,Water of Dye at Charr,0.0052055,0.028274,0.019974,0.62638,0.12858,0.11615,0.19578,0.76717,0.039162,0.34702,0.063265,0.10864,0.35454,0.7109,0.41763,0.26832,0.029686,0.24873,0.05502,0.30428,0.22736,0.49846,0.3565,0.44187,0,1990-01-01,1999-12-31,River Water of Dye,42.03
13001,Bervie at Inverbervie,0.090204,0.10978,0.059835,0.29716,0.27009,0.34324,0.30468,0.50066,0.016307,0.1397,0.21427,0.018051,0.38058,0.59981,0.74039,0.22395,0.050079,0.16661,0.1318,0.1019,0.31244,0.562,0.60927,0.30646,0,1990-01-01,1999-12-31,River Bervie,124.47
13004,Prosen Water at Prosen Bridge,0.026421,0.086798,0.14107,0.2288,0.2135,0.3917,0.49572,0.33759,0.03295,0.070826,0.25497,0.018219,0.45076,0.49787,0.76182,0.18297,0.033355,0.10105,0.26705,0.079978,0.34656,0.37246,0.71275,0.22941,0,1990-01-01,1999-12-31,River Prosen Water,107.53
13005,Lunan Water at Kirkton Mill,0.20219,0.096305,0.091491,0.1262,0.36495,0.45219,0.37345,0.36832,0.1639,0.42586,0.073261,0.010822,0.31748,0.69096,0.32823,0.18317,0.22357,0.27355,0.09104,0.056567,0.33309,0.56033,0.36858,0.2571,0,1990-01-01,1999-12-31,River Lunan Water,128.93
13007,North Esk at Logie Mill,0.066685,0.13248,0.055673,0.36281,0.22614,0.33397,0.27756,0.50141,0.017842,0.096247,0.20471,0.025633,0.44226,0.57439,0.74742,0.19753,0.025774,0.14103,0.15739,0.11799,0.33446,0.50014,0.63127,0.28035,0,1990-01-01,1999-12-31,River North Esk,747.04
13008,South Esk at Brechin,0.044897,0.11469,0.083766,0.23826,0.22729,0.43455,0.41414,0.37419,0.024397,0.095434,0.2039,0.021929,0.455,0.56353,0.73784,0.19413,0.03179,0.13564,0.1913,0.098703,0.32478,0.45097,0.65953,0.26017,0,1990-01-01,1999-12-31,River South Esk,489.69
14001,Eden at Kemback,0.056656,0.12919,0.06973,0.069907,0.25708,0.66905,0.56751,0.2805,0.017638,0.13378,0.2367,0.0086096,0.39715,0.55982,0.74804,0.19594,0.032135,0.18535,0.20215,0.038025,0.28256,0.54229,0.69279,0.23822,0,1990-01-01,1999-12-31,River Eden,308.74
14002,Dighty Water at Balmossie Mill,0.07471,0.13355,0.093439,0.041236,0.26527,0.6729,0.61292,0.2665,0.10463,0.38179,0.10011,0.008231,0.31888,0.68354,0.41757,0.19778,0.1092,0.29755,0.11403,0.027724,0.25576,0.6311,0.49112,0.23087,0,1990-01-01,1999-12-31,River Dighty Water,127.62
14005,Motray Water at St Michaels,0.091584,0.15787,0.065294,0.044483,0.26504,0.69497,0.53554,0.28772,0.07094,0.54517,0.054972,0.0046512,0.20878,0.81212,0.29786,0.15292,0.092839,0.41782,0.065085,0.02254,0.19353,0.75042,0.37527,0.21028,0,1990-01-01,1999-12-31,River Motray Water,58.3
